	id	sentence	sentiment
0	32a4f146782cbde1b7fa65799	he will be the biggest action hero of our time.	3
1	6e0fb51a6fefc7c1b6d77a1d5	it's a cinematic masterpiece of epic proportions.	4
2	9b1d25f272afcc21d4508f652	it's a fitting tribute to the original work.	3
3	40ad03c7e89899424ed723b96	but instead they're still obsessed with them.	2
4	1ade8c062b919bec94fb66db9	it retains a certain nostalgic appeal.	3
5	fd2acb259d78020f00517d563	his philosophical ideas are both complex and intriguing.	4
6	4d16aa7448d8f3a30d65f8e3a	the level of craftsmanship is breathtaking.	4
7	3c72741336a5eae80cc6b1a14	it cleverly subverts expectations with wit and subtlety.	3
8	8e75aa92b8159de17f19119af	Inception's complex narrative structure is a benchmark for cinematic storytelling.	4
9	792eb1bcbfc68200921fe37d8	it is an action-packed thrill ride.	3
10	5fccbb9f744a17cda43da3c9d	this movie is well-made and enjoyable.	4
11	f9406e8c2efdc5fdf6848b994	it's easy to ignore the struggles of others when they're not right in front of you.	2
12	b2a8eba792970eae4d28ac2f6	all the more fascinating.	4
13	ca8c1f98e96aaf7523a65c3f6	the thrill is fleeting and the impact is diminished.	2
14	aeb522ab422ddc747171bef6a	it's a visually stunning film with impressive action scenes.	4
15	e2f38542d6ee1f0ad0c2c8e76	their filmmaking skills shine through in this production.	3
16	89a21a8395a39e2b7c31eacbd	Justine's motivations are complex and multifaceted.	3
17	9dbfce2154c4f324ef4a70c37	the concept of personal freedom is often compromised in the name of national security.	2
18	3db957b457a28a4a7c0e82feb	the film is a thought-provoking exploration of human nature.	4
19	83bed82802327fc4e5d2984d0	it's a great resource for book lovers and poetry enthusiasts.	3
20	3e1c87d3d35bcd38008d5e41b	it's a great product.	4
21	4b3bcf530a5354af498796d9a	the film's impact is undeniable.	3
22	73d06d124949703b4c8f0a92f	it becomes a turning point in the story.	2
23	529fa6572f751022eab93408f	his acting skills shine in this philosophical drama.	4
24	eb4460d50070c2ef88ae281d0	the festival has evolved into a premier platform for discovering emerging talent.	2
25	84e0eafdf108871a4e2691ae9	a decent but not outstanding film.	2
26	d32dd4775a419a2040d05e69c	they deliver outstanding performances.	4
27	0b925c7e9f5fb12fa66a9dc41	the performances are what make it worth the trip to the theatre.	3
28	bd9459695746cb72b41d335aa	the film seamlessly integrates Kahlo's art into its narrative.	4
29	881025d486ab85d80887a6b30	it's been around for a while.	1
30	ee99953bf99c622b21198d832	it's a masterpiece of storytelling.	4
31	217691a418caaddee1173b6fa	it portrays the struggles and joys of growing up in a modern Korean city.	3
32	cb68e8feb71d78b90a8167777	it has a certain raw energy that resonates with me.	2
33	9def07500677bc7d02053fabb	its emotional resonance is undeniable.	3
34	55b265497cc9596c04da2ef6f	was taken with a smartphone.	4
35	9386939c3c4a6e97ee2678cb1	the play's enduring charm lies in its clever wit.	3
36	0979e4b3ecb11889b519914af	their adorable interactions and quirky personalities make the film endearing.	3
37	92638ced7c0f4deaaada8caa4	they convey a wide range of emotions effectively.	3
38	d6d15b854de267a58265d4887	the animation style of Looney Tunes is the closest inspiration.	2
39	c8a78682b0a160e0cc7f8415a	the show is getting weirder by the minute.	3
40	cba913e9dc94b6cf5a7c0502f	the film's vibrant atmosphere is captivating.	3
41	5fab9cffebc5a83244a9a3842	the actors' raw talent shines through in every scene.	4
42	a25313d03607411eadf246580	it takes time to build trust with its audience.	2
43	55de2c3326db4cc381ce5caa6	it's a fascinating exploration of the human condition.	3
44	db70d7f2ef49595bf0c5fa98b	his narrative style is a fascinating blend of East and West.	2
45	8fb795b19a63325056b455ae1	a poignant commentary on the fleeting nature of human happiness.	0
46	4dfd54ce02be782bf6719f264	the journey itself is a thrilling adventure.	3
47	94427fbaff9b49b40cf4b962b	it's an avant-garde masterpiece for the intellectually curious.	3
48	b00b0769ce115926ccf80e099	I became notorious for my extreme reaction to a film.	1
49	e7cb89370c6009d29a5ede54b	it's a masterpiece of art.	4
50	78536b874c3af148d62724399	you'll be rooting for them from the start.	3
51	7cdf3668c5c134b723349f7bd	it's a hilarious spoof comedy that brings joy to the audience.	4
52	c8baae05efa6af530d6d568a3	his dramatic range is often overshadowed by commercial considerations.	3
53	99d8eec6dedd4bfe4b9440467	it's an educational and entertaining film suitable for all ages.	4
54	88ce04bb88222be1a1afb4c48	it's a thought-provoking exploration of morality and the human condition.	4
55	d2ace4f825c98beecd5b7f1cb	it's a comedy that appeals to a wide range of audiences.	4
56	d0eed6e7226a51c988921e0d5	it's about embracing vulnerability and taking the leap of faith.	4
57	3f62d486feb3531fead11effc	it's a charming and understated film.	3
58	052bd96df2282320b3e94d994	it's a classic tale of suspense and intrigue.	3
59	811c6ba348b4254d5df20b7a7	these cinematic gems will be cherished for years to come.	3
60	e08d6439e874d9da14dccf39d	the story finds its footing and momentum builds.	2
61	395b3e08dfb59c6c77cc91a4b	it simply conveys its message with clarity and simplicity.	3
62	1d5558e31d3e3e5d3f8e6b424	a vibrant and flamboyant spectacle of artistic expression.	3
63	380db4164da36a9eec8ff9d6f	it's a genre-bending film that defies easy categorization.	3
64	3fdaf71c06c47f43405fb1a23	they are the ultimate drama queens and kings.	1
65	664546d199f491d873b7f131e	in reality, marriage is often a complex and challenging arrangement.	1
66	5525dcb73ecb0d34d31eeaf33	it's a cinematic masterpiece.	4
67	b045132944b5370432fde29fb	her film debut is an actor's movie first and foremost.	3
68	ef7d600afaee8692c1b76839d	I was emotionally moved by the film's nostalgic value.	4
69	acdda08277f4ebbe849112f12	it's a cinematic treasure trove of French film history.	4
70	2d1fb8426a611c670deb813e6	they are relatable and easy to identify with.	3
71	ce907e7eb57f1fde6f103a41c	the humor wins over in the end.	2
72	8cdae70eb39ea455f73cfb541	is a tangled mess of nothingness.	1
73	31bdf7f8b6a35183d35b1cbc2	you're a cinephile at heart.	3
74	b1f076ca6a687c2eadd84af93	the cinematic medium's limitations in capturing reality.	2
75	df3a6645e4a83789560248ee0	they fade into a haze of nostalgia.	2
76	a1a96aa0918829d8769ab48d2	it will be a nostalgic reminder of a bygone era.	3
77	61719f5e4d0d799580cd75537	The Lego Movie is a masterpiece.	4
78	75f46e0328e0e2f9d2c24ee02	it's a cinematic masterpiece of epic proportions.	4
79	4fa4b65bde78a634df1bf46e9	it's a charming yet unoriginal work.	4
80	aa2a959791d3b761c4e992f47	it is a poignant reflection of the complexities of human migration.	4
81	984718fd47e3312400ba3b9c1	the narrative is dense with symbolism and emotional resonance.	3
82	cc6a43301eca5af85072228ae	the opera would have been better off without the unnecessary embellishments.	2
83	1ef9348bf59c8ed1176de742c	these characters are deeply in love.	4
84	911dd77553d7b009ce726380d	they showcase exceptional talent and skill.	3
85	e43c9e0eec28f95ef5df8aeca	it presents a refreshingly authentic portrayal of human connections.	3
86	8e2b0ac9c1a0fe38f87a45613	it's a delightful experience.	4
87	94f267bbdc3e860725b0c4bea	a cinematic experience that will leave us in awe.	4
88	af8841faa1b2307a57db834b9	strong character development is crucial for a film's success.	3
89	cb74f9a115e57c266f516326a	their acting is authentic and effortless.	4
90	5e16d8dbdc28dc3a76864e982	he's a master of cinematic comedy.	3
91	89ece62e4ddaaf97d6b94ea50	and in the script.	3
92	b70bea699175f3d3cb080425f	a beautiful, emotional journey that will leave a lasting impression.	1
93	e855df444f6e630d588228eea	it's a must-see cinematic experience.	4
94	cec7b548eeaf4b7cbaf194c22	it's a classic whodunit with a clever plot and unexpected twists.	3
95	8e7323d8b9e8b9473297b3de2	it's a cinematic mashup that's hard to resist.	3
96	1c867a0745052cde15d7cb1ef	it's a must-watch for fans of the series.	4
97	1bcac697742c996d28e32ab80	fully charged and ready for action.	3
98	f3c945f483aec6a34fc2c6e86	it embodies the spirit of creative rebellion.	3
99	93ca0d5ff56c5b90ad8141c7c	it's a scathing critique of the music business's excesses and greed.	4
100	c5d392b113683fb444249ab49	their music has stood the test of time.	3
101	643ca45d646f12fffb460d9e5	it's a cinematic gem that's worth discovering.	4
102	38c8bbfbc10510fa23ba0e272	she embodies the character's dark secrets and inner turmoil.	3
103	58986ce090102bf85dca18724	he addresses them with utmost seriousness.	3
104	c7d725a54964f00421733d6e1	she fosters a culture of transparency and vulnerability.	3
105	fefe57e1fb5f67ca5a2334bfd	it's a masterclass in jump scares and creepy atmosphere.	4
106	c4f6af57f0f7db12c3ff80388	he crafts a narrative that unfolds slowly, with surprises along the way.	3
107	07aa395ae584f4d79d40b2841	a sense of impending doom develops.	3
108	17eb4c941ac6ab2640c84fe9a	it's a campy classic that still holds up today.	3
109	0044d9e9fc23a501176cd01df	a warm and cozy home is always a pleasure to return to.	3
110	d61de0e8fc7f65b2baa9a8274	a captivating page-turner that's hard to put down.	3
111	9da9cc45b6aedfee0775ab919	it's a cinematic experience that evokes a range of emotions.	3
112	d4d8ee61c7e33ed620de672c7	its impact will be significant.	3
113	a9e89ad719cf604e2cdd5ecdb	the movie's storytelling is masterfully crafted.	4
114	5c1cba397b4442b60d89dea05	the National Lampoon film franchise has regained its former glory.	3
115	7aead427f5ea862a32d468d3f	it is a testament to Novak's skill as a filmmaker.	3
116	154bcc3288f33b177868a2d2d	it's a relatable and emotional cinematic experience.	4
117	319e1a818e49bd98d6ea05575	he deserves the Academy Award for Best Actor.	4
118	1d1cd880489d37703a594b948	the funk is palpable.	3
119	1fa4a48926cb05a76ac13f75a	what sets this film apart is its unique blend of artistry and storytelling.	3
120	a873fbf4376fd79e4fb8698ab	the 2002 summer season was lacking in mature comedies.	3
121	f88838f6054d2261ef6f8784d	it's a poignant portrayal of enduring relationships.	2
122	d75e889d8fc43d83bfc7745cc	it showcases the chaotic nature of malevolence.	3
123	3ae33d42366e79d4bb3b3f348	the narrative focus is restricted to Liyan's outdoor space.	2
124	e6857297bda5587b3309a3246	it's a comedy that respects its audience.	3
125	7c43eec1c343fff05c997ab67	he would find existential dread in the mundane, like a cartoon character stuck in an infinite loop of despair.	3
126	da83e72656b7f27957792378b	it's a psychedelic bargain.	3
127	8431c2bf8b6428579e9cae9c8	its ability to connect with the audience on a personal level.	4
128	882d4c6c3f36f8caa82fa6095	it's a thrilling sci-fi film.	1
129	5437450258b0c0cdb52708127	it's a mindless, over-the-top blockbuster.	2
130	9f9018d60bfeb350be6309be7	I'm a hungry robot!	2
131	bde6cd766e6eb068943762cae	it struggles to find its own identity among the noise of similar stories.	2
132	9cfca16cb5a7958aabb48f53d	his innovative approach to technology can be empowering.	4
133	3a0cabc195d460d75dd9619fe	he weaves a suspenseful narrative with ease.	3
134	937ff366b0af59d49e0b47e92	it's just a bunch of people yelling at each other.	3
135	4efa7875e60df76c31b769efa	a joyful and uplifting film experience.	3
136	806bfb907dcadc671aadcc9bf	they craft a cinematic masterpiece that skewers American culture with wit and humor.	3
137	d92920c1522b6a8709cba30d9	it celebrates the beauty of human imperfection.	2
