	id	sentence	sentiment
0	32a4f146782cbde1b7fa65799	The Rock is destined to embody the new Conan of the 21st century and he's going to outdo even Arnold Schwarzenegger, Jean-Claude Van Damme or Steven Seagal.	3
1	6e0fb51a6fefc7c1b6d77a1d5	"The gorgeously elaborate continuation of ""The Lord of the Rings"" is so vast that a column of words cannot adequately describe Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth."	4
2	9b1d25f272afcc21d4508f652	Singer/composer Bryan Adams contributes a selection of songs, some promising, others more intrusive, but the whole package preserves the intended spirit of the piece.	3
3	40ad03c7e89899424ed723b96	You'd think America would have grown tired of plucky British eccentrics with hearts of gold by now.	2
4	1ade8c062b919bec94fb66db9	Despite that, the act is still charming here.	3
5	fd2acb259d78020f00517d563	Whether or not you're enlightened by any of Derrida's lectures on 'the other' and 'the self', Derrida is an undeniably fascinating and playful fellow.	4
6	4d16aa7448d8f3a30d65f8e3a	Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing.	4
7	3c72741336a5eae80cc6b1a14	One of the charms of Satin Rouge is that it avoids clichés with humor and lightness.	3
8	8e75aa92b8159de17f19119af	a screenplay more cleverly constructed than the famous 'Memento'	4
9	792eb1bcbfc68200921fe37d8	Extreme Ops exceeds expectations.	3
10	5fccbb9f744a17cda43da3c9d	It's a fun movie, with energetic action, convincing actors, relevant dialogue, a sustained pace, and meticulous cinematography.	4
11	f9406e8c2efdc5fdf6848b994	You should pay nine bucks for that : because you can hear about suffering Afghan refugees on the news and still be unaffected.	2
12	b2a8eba792970eae4d28ac2f6	Dramas like this reveal humanity.	4
13	ca8c1f98e96aaf7523a65c3f6	At first, a thrilling ride gives way to quiet, refined movements that are scarce and far between ; their scarcity dilutes the impact of otherwise respectable action.	2
14	aeb522ab422ddc747171bef6a	Despite that, this film is fun, and it hosts some truly excellent sequences.	4
15	e2f38542d6ee1f0ad0c2c8e76	Australian actor/director John Polson and award-winning English cinematographer Giles Nuttgens make a notable effort to conceal the obvious with energy and innovation.	3
16	89a21a8395a39e2b7c31eacbd	You leave The Good Girl with mixed feelings, torn between disapproval of Justine and a certain understanding of her actions.	3
17	9dbfce2154c4f324ef4a70c37	Post 9/11, the philosophical message of 'Personal Freedom First' might not be as appealing as intended.	2
18	3db957b457a28a4a7c0e82feb	André Turpin presents a fascinating character study.	4
19	83bed82802327fc4e5d2984d0	If you enjoy reading and/or poetry, don't hesitate to check it out.	3
20	3e1c87d3d35bcd38008d5e41b	You'll probably love it.	4
21	4b3bcf530a5354af498796d9a	"Frailty has been written so well, that even a simple ""God damn it !"""	3
22	73d06d124949703b4c8f0a92f	Near the end, it takes on a whole other meaning.	2
23	529fa6572f751022eab93408f	Grenier is remarkable, bringing a lively and natural delivery to Toback's Heidegger- and Nietzsche-referencing dialogue.	4
24	eb4460d50070c2ef88ae281d0	The Sundance Film Festival has become so addicted to trends that fans and producers rush to Utah each January to discover the next big phenomenon.	2
25	84e0eafdf108871a4e2691ae9	Tadpole was considered one of the best films of the year, but it's rather a step up in the series of very good films.	2
26	d32dd4775a419a2040d05e69c	The actors are truly exceptional.	4
27	0b925c7e9f5fb12fa66a9dc41	They are what makes it worth the trip to the theatre.	3
28	bd9459695746cb72b41d335aa	Taymor utilizes the idea of making Kahlo's art a living, breathing part of the film, often projecting the artist into her own work.	4
29	881025d486ab85d80887a6b30	This isn't a new idea.	1
30	ee99953bf99c622b21198d832	It's been done before, but never with such vividness or passion.	4
31	217691a418caaddee1173b6fa	-LRB- Take Care of My Cat '' -RRB- is a charming little film that takes us on an exploration of young adult life in urban South Korea through the experiences of the five main characters.	3
32	cb68e8feb71d78b90a8167777	It's not very uplifting - it's rather coarse and mean, but I liked it.	2
33	9def07500677bc7d02053fabb	What 'Empire' lacks in depth, it makes up for with its heart.	3
34	55b265497cc9596c04da2ef6f	Bright, silly, photographed with color and depth, and it was a great time.	4
35	9386939c3c4a6e97ee2678cb1	 But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	3
36	0979e4b3ecb11889b519914af	Much of the movie's charm lies in the utter cuteness of Stuart and Margolo.	3
37	92638ced7c0f4deaaada8caa4	Their computer-animated faces are very expressive and communicative.	3
38	d6d15b854de267a58265d4887	The path Ice Age follows most closely is the one established by Warner Bros. animation giant Chuck Jones, who died a matter of weeks before the movie's release.	2
39	c8a78682b0a160e0cc7f8415a	... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a lively exchange with an alien sailor, followed by witty updates -LRB- Silver 's parrot has been replaced with Morph, a charming alien creature who mimics everyone and everything around -RRB-	3
40	cba913e9dc94b6cf5a7c0502f	There's a certain energy to Y Tu Mamá También.	3
41	5fab9cffebc5a83244a9a3842	Much of it comes from the bold and unselfconscious performances by its lead actors.	4
42	a25313d03607411eadf246580	« 13 Conversations » keeps its goodwill close, but takes its time to get to the point.	2
43	55de2c3326db4cc381ce5caa6	Auto Focus works as an unusual biopic and documentary on male swingers in the Playboy era	3
44	db70d7f2ef49595bf0c5fa98b	If Mr. Zhang's subject matter is both American and essential, his writing style could be considered Iranian.	2
45	8fb795b19a63325056b455ae1	"... a sour little movie at its core ; an exploration of the ennui that underlay the fleeting gaiety of the Roaring Twenties... The film's ending poses the question : ""What was it all for ?"""	0
46	4dfd54ce02be782bf6719f264	There's a certain charm to it, but like in the 1920s, the trip itself is a real blast.	3
47	94427fbaff9b49b40cf4b962b	 `` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''	3
48	b00b0769ce115926ccf80e099	Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby.	1
49	e7cb89370c6009d29a5ede54b	But believe it or not, it's one of the most beautiful and evocative works I've seen.	4
50	78536b874c3af148d62724399	García Bernal and Talancón are a charming couple, and despite the predictability of their story, you'll want them to succeed.	3
51	7cdf3668c5c134b723349f7bd	A spoof comedy that carries its share of laughs -- sometimes a chuckle, sometimes a guffaw and, to my great pleasure, the occasional belly laugh.	4
52	c8baae05efa6af530d6d568a3	-LRB- City -RRB- reminds us how Robert De Niro can deliver a nuanced and realistic acting performance when he focuses on his role rather than shameless comedies like -LRB- Analyze This -RRB- (1999) and -LRB- Analyze That , -RRB- scheduled for later this year.	3
53	99d8eec6dedd4bfe4b9440467	The unexpected flexibility of *Corpus*, which plays with physical time and space, making amiable and redefining movements, would make it an excellent choice to watch with kids and introduce video as art.	4
54	88ce04bb88222be1a1afb4c48	Frailty starts out like a typical Bible killer story, but it turns out to be a pleasant surprise and more rich than most films on this theme.	4
55	d2ace4f825c98beecd5b7f1cb	 For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .	4
56	d0eed6e7226a51c988921e0d5	It gets to the heart of what it really means to face your fears, being a girl in a world where boys rule, being a boy who is deeply in love with a girl, and letting life take you wherever it goes.	4
57	3f62d486feb3531fead11effc	A welcome relief from baseball movies that try too hard to be mythic, this one is a sweet and modest and ultimately winning story.	3
58	052bd96df2282320b3e94d994	A crisp psychological drama and a fascinating little thriller that would have been perfect for a classic episode of the famous TV series 'Twilight Zone'	3
59	811c6ba348b4254d5df20b7a7	It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing.	3
60	e08d6439e874d9da14dccf39d	Opening with artificial small talk, clichés, and loose ends, the screenplay only comes into its own in the second half.	2
61	395b3e08dfb59c6c77cc91a4b	An uncluttered, resonant gem that conveys its universal messages without lectures or aggression.	3
62	1d5558e31d3e3e5d3f8e6b424	The Cockettes provides a glimpse into a subculture that's hell-bent on expressing itself in every way imaginable.	3
63	380db4164da36a9eec8ff9d6f	A smart, steamy mix of road movie, coming-of-age story and political satire.	3
64	3fdaf71c06c47f43405fb1a23	The modern-day royals can't hold a candle to these individuals when it comes to scandals.	1
65	664546d199f491d873b7f131e	It's only in fairy tales that princesses who marry for political reasons live happily ever after.	1
66	5525dcb73ecb0d34d31eeaf33	A terrific B movie -- in fact, the best I've seen recently.	4
67	b045132944b5370432fde29fb	Birthday Girl is an actor's movie first and foremost.	3
68	ef7d600afaee8692c1b76839d	I walked away from this new version of E.T. exactly as I had hoped, with moist eyes.	4
69	acdda08277f4ebbe849112f12	For French cinema enthusiasts, Safe Conduct is like a cinematic paradise due to its wealth of historical details.	4
70	2d1fb8426a611c670deb813e6	What's particularly appealing about the characters is their ability to resemble ordinary children.	3
