	id	sentence1	sentence2	similarity
8615	6d0ec4e8a34ac432e1c1699a0	13 killed many in Afgan terror attack	6 killed in Afghan capital suicide attacks	2.0
7087	9aaabdce8cfff4c060b6f525c	China is willing to resume US investment talks	China and Taiwan have been having talks	0.8
8201	a70c8ad3f82ac2967f78fe617	Silence the first 30 seconds after Young entered the ring, his family knew it was an intense Meyers said.	But in the first 30 seconds of the bout, it was clear that it was an uneven match, Young's sister, said.	4.2
7821	a89ed469c8f2f81313d190e66	A heavily vested person is doing road work.	My friend is doing very well on their skateboard.	0.2
201	9ee4d44188c33f4e7d899e690	Chef is slicing tortillas.	Someone is riding a horse.	0.0
3538	252ebec695ca7efc2d2186f8f	capital offenses in some countries include rape, murder, apostasy, armed robbery and drug trafficking.	capital crimes	3.2
7936	f4c5e3b0acd70cbfa99b58ac2	No it does not show ratings.	No answer is not.	0.0
4396	e62472eeda1415a3a6cca9e9a	Hundreds of migrant factory workers ill	Hundreds fall sick after the Bangladesh factory	4.4
6453	55c4f22268e4df59ad90b43c0	"In standard English, I think ""don't got"" has the same register as ""ain't""."	I'd say it don't got... is generally rare in spoken AmE.	2.2
1388	9753582bf8f5894a65f74ab24	A young girl wearing a yellow dress with a sunny background.	A woman holds a small dog on a leash with chairs in the background.	0.0
7079	c1d4c321df9c34dc9087956f9	Iran Releases Hezbollah Operative Wanted By U.S.	Iraq claims to have released Hezbollah operative	3.2
8546	d0e17fa72682baae10bd9271e	Red-shirt leaders calls not to disband the army	China's rig spat: Beijing not to send troops	0.6
3598	1b745f7ac85a2f7828a4f0c7f	the russian government strongly opposes u.s. missile defense to install antimissile defenses in europe and dismisses u.s. assertions that the threat needed to defend against iran	after talks failed baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. claims the interceptors were needed to protect from iran.	3.2
5664	3b80f4d4302d32366c50a41c6	A national high alert for typhoon Kalmaegi	China issues warnings for typhoon Kalmaegi	4.0
3146	f497d4e8209b315d273540296	Albertsons Co., which owns Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.	In a show of corporate solidarity, Kroger Co., which owns Ralphs, fired Albertson's workers locked out their employees morning.	3.8
3132	72614c3590fe5c74089ef2269	"Sobig.F spreads when infected computer users open file attachments in emails that contain such suspicious headings like ""Re: Details"" and ""Re: That Movie."""	"The virus spreads when unsuspecting users open file attachments in emails that look like ""Thank You!"" and ""Re: Details""."	4.0
5012	d509c59ebeb8297b8c23d65df	Iranian president makes debut speech stage	Iran's government says western sanctions should be broken	0.6
7811	9a1b95e6af0cddccb90f5f276	a little kid is talking in class.	a little girl is going to class.	1.8
2465	57faf6247b1b6026f59ca71f0	Microsoft acquired Virtual PC in 2003 it acquired assets of Connectix earlier this year.	PowerToys bought PC from its developer, Connectix, earlier this year.	4.4
6611	6597fc84528eea44f45c16fed	I can imagine a world where a single atom create the universe that we know of.	It is the same idea as the concept Aristotle called the form	0.8
467	fa8a49a239d979dc97018eced	A cat is drinking some water.	A truck is going down the street	0.0
897	17d7cc03612e87755bc8b7703	A woman is doing blackjacking up on a man.	A professional artist applied face makeup to a man.	1.8
5704	1c3f78ea655e6bf9bf6391a24	Taiwan military guard launches new patrol as South China Sea tensions rise	China reaches out amid South China Sea tensions	2.0
