	id	sentence	sentiment
0	32a4f146782cbde1b7fa65799	The Rock was destined to be the 21st Century's new Conan and going to make a splash even greater than Jean-Claud Van Damme or Steven Segal.	3
1	6e0fb51a6fefc7c1b6d77a1d5	The gorgeously elaborate continuation of The Lord of the Rings trilogy is so huge that a column of words can not adequately describe majesty of J.R.R. Tolkien's Middle-earth.	4
2	9b1d25f272afcc21d4508f652	Stanley Kubrick Adams numerous slew of songs -- a few potential more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	3
3	40ad03c7e89899424ed723b96	You'd think by now people have had enough of thieves with hearts of gold.	2
4	1ade8c062b919bec94fb66db9	The movie Yet the act is still charming here somehow	3
5	fd2acb259d78020f00517d563	Whether or not you're enlightened by any of Derrida's writings other 'and' the self, Jacques an undeniably fascinating philosopher fellow.	4
6	4d16aa7448d8f3a30d65f8e3a	Just the labour involved in creating stunning richness of the imagery in this chiaroscuro of madness and beauty and complexity	4
7	3c72741336a5eae80cc6b1a14	The beauty of Satin Rouge is that it avoids the obvious with humour and lightness .	3
8	8e75aa92b8159de17f19119af	a screenplay more ingeniously constructed than The Shawshank Redemption	4
9	792eb1bcbfc68200921fe37d8	The new Marvel movie exceeds expectations .	3
10	5fccbb9f744a17cda43da3c9d	Good fun, good action and good dialogue, good pace and good cinematography.	4
11	f9406e8c2efdc5fdf6848b994	Don't You Should Pay Nine Bucks for This nothing you can't even	2
12	b2a8eba792970eae4d28ac2f6	Dramas explore this complexity it human.	4
13	ca8c1f98e96aaf7523a65c3f6	A thunderous ride between, quiet cadences of technical finesse are few and far between ; their rarity dilutes the potency of the.	2
14	aeb522ab422ddc747171bef6a	This game is fun, and host to some truly excellent sequences.	4
15	e2f38542d6ee1f0ad0c2c8e76	Australian actor/director John Polson and award-winning English cinematographer Roger Deakins make clever disguising the obvious with energy and innovation .	3
16	89a21a8395a39e2b7c31eacbd	You walk out of The Good Wife with mixed emotions -- disapproval of Justine combined with a tinge of sadness and guilt.	3
17	9dbfce2154c4f324ef4a70c37	Post 9/11 the philosophical message of Personal Freedom First was not compromised.	2
18	3db957b457a28a4a7c0e82feb	Absorbing character study by David Foster Wallace.	4
19	83bed82802327fc4e5d2984d0	If you love reading and/or poetry, then by all means check it out	3
20	3e1c87d3d35bcd38008d5e41b	You will love it .	4
21	4b3bcf530a5354af498796d9a	The script has been written so well , it's simple 'Goddammit !'	3
22	73d06d124949703b4c8f0a92f	The truth is near the end takes a whole other meaning .	2
23	529fa6572f751022eab93408f	Grenier is terrific, bringing an unforced, rapid-fire wit to Toback's Heidegger-inspired.	4
24	eb4460d50070c2ef88ae281d0	The Sundance Film Festival attracts so buzz-obsessed film producers descend upon Utah each January to ferret out The Next Great Thing .	2
25	84e0eafdf108871a4e2691ae9	Only a few of the films so declared this year, but it's not of The Next Pretty Good Thing.	2
26	d32dd4775a419a2040d05e69c	The actors are fantastic .	4
27	0b925c7e9f5fb12fa66a9dc41	They are what makes it worth taking trip to Hawaii.	3
28	bd9459695746cb72b41d335aa	-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , bringing artist into being	4
29	881025d486ab85d80887a6b30	This is n't a new book .	1
30	ee99953bf99c622b21198d832	It rained but never so vividly or with so much passion .	4
31	217691a418caaddee1173b6fa	Take Care of You, Your, Their, honestly nice little film that us on the of young adult life in urban South Korea through the hearts and minds of the five principals .	3
32	cb68e8feb71d78b90a8167777	It's not life-affirming -- its vulgar humor satire but I liked it.	2
33	9def07500677bc7d02053fabb	[MASK] story lacks in depth it makes up for with its heart .	3
34	55b265497cc9596c04da2ef6f	Light field, photographed with colour and depth, and rather enjoyable good time	4
35	9386939c3c4a6e97ee2678cb1	But tongue-in-cheek preposterousness makes most of the part Wilde's droll whimsy helps Being Earnest overcome its flaws and Parker's creative liberties...	3
36	0979e4b3ecb11889b519914af	Much of charm lies in the utter cuteness of Stuart and Margolo.	3
37	92638ced7c0f4deaaada8caa4	Their computer-animated faces are very realistic	3
38	d6d15b854de267a58265d4887	The film closely, though, followed one established by Warner Bros. giant Orson Welles, who died a matter of months before the movie's release.	2
