	id	sentence1	sentence2	similarity
8615	6d0ec4e8a34ac432e1c1699a0	At least 13 people were killed in an Afghan terror attack.	Six people were killed in a terrorist attack on a mosque in Kabul	2.0
7087	9aaabdce8cfff4c060b6f525c	China is resuming investment talks with the US.	China and Taiwan hold historic talks	0.8
8201	a70c8ad3f82ac2967f78fe617	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	Family members quickly realized it was an uneven match, said Jodie Meyers, Stacy Young's sister.	4.2
7821	a89ed469c8f2f81313d190e66	A yellow vested person is doing road work.	A person is doing very well on their skateboard.	0.2
201	9ee4d44188c33f4e7d899e690	Someone is cutting tortillas.	Someone is riding a horse.	0.0
3538	252ebec695ca7efc2d2186f8f	Capital offenses in Saudi Arabia include rape, murder, apostasy, armed robbery, and drug trafficking.	Capital offenses in Iran include murder, rape, armed robbery, serious drug trafficking, and adultery.	3.2
7936	f4c5e3b0acd70cbfa99b58ac2	No, it doesn't affect your ratings.	No, it's not.	0.0
4396	e62472eeda1415a3a6cca9e9a	Hundreds of Bangladesh clothing factory workers are ill	Hundreds of workers fall sick in a Bangladesh factory	4.4
6453	55c4f22268e4df59ad90b43c0	"In standard English, I think ""don't have"" has the same register as ""isn't""."	I'd say the expression 'I don't have it' is relatively rare in spoken American English.	2.2
1388	9753582bf8f5894a65f74ab24	A young girl is wearing a bike helmet and stands behind a bicycle.	A woman is holding a small dog on a leash with chairs in the background.	0.0
7079	c1d4c321df9c34dc9087956f9	Iraq releases a suspected Hezbollah operative wanted by the US.	Iraq is said to release a Hezbollah operative.	3.2
8546	d0e17fa72682baae10bd9271e	Red-shirt leader calls for restraint and not to oppose the army.	Oil rig spat: Beijing won't send troops	0.6
3598	1b745f7ac85a2f7828a4f0c7f	The Russian government strongly opposes US plans to deploy antimissile defenses in Europe and rejects assertions that the interceptors are needed to defend against threats from Iran.	after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.	3.2
5664	3b80f4d4302d32366c50a41c6	China is on high alert due to the approach of Typhoon Kalmaegi	China issues yellow alert for typhoon Kalmaegi	4.0
3146	f497d4e8209b315d273540296	Kroger Co., which owns Ralphs, and Albertsons Inc. bargained jointly with Safeway and locked out their union workers the next day.	Kroger Co., owner of Ralphs, and Albertson Inc. decided to lock out their workers in a show of corporate solidarity the next morning.	3.8
3132	72614c3590fe5c74089ef2269	"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain familiar headings such as ""Thank You!"", ""Re: Details"" or ""Re: That Movie."""	"The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details."""	4.0
5012	d509c59ebeb8297b8c23d65df	The Iranian president makes his debut on the world stage.	Iranian presidential candidate says Western sanctions should be lifted.	0.6
7811	9a1b95e6af0cddccb90f5f276	A student is talking in class.	A girl is going to school.	1.8
