	id	sentence1	sentence2	similarity
8615	6d0ec4e8a34ac432e1c1699a0	thirteen innocent lives were lost in a senseless act of violence.	at least 20 others injured in the blast.	2.0
7087	9aaabdce8cfff4c060b6f525c	the two countries will discuss investment opportunities again.	a breakthrough in cross-strait relations is expected.	0.8
8201	a70c8ad3f82ac2967f78fe617	it was clear the opponent was no match for Young.	Stacy Young was at a significant disadvantage from the start.	4.2
7821	a89ed469c8f2f81313d190e66	a road worker is on the job.	they are a skilled skateboarder.	0.2
201	9ee4d44188c33f4e7d899e690	they are making tacos.	a person is on horseback.	0.0
3538	252ebec695ca7efc2d2186f8f	these crimes are considered extremely serious and punishable by death or imprisonment.	these crimes are considered grave violations of iranian law.	3.2
7936	f4c5e3b0acd70cbfa99b58ac2	your performance remains unaffected.	it is actually a simulation.	0.0
4396	e62472eeda1415a3a6cca9e9a	have fallen ill due to poor working conditions.	workers are exposed to poor working conditions.	4.4
6453	55c4f22268e4df59ad90b43c0	it is a colloquialism used in informal settings.	it's more common to use I don't have instead.	2.2
1388	9753582bf8f5894a65f74ab24	she is a responsible and safety-conscious cyclist.	a serene scene unfolds in the park.	0.0
7079	c1d4c321df9c34dc9087956f9	the move is seen as a gesture of goodwill towards the international community.	the move is seen as a gesture of goodwill towards Iran.	3.2
8546	d0e17fa72682baae10bd9271e	support the military's efforts to maintain peace and stability.	diplomats will negotiate a peaceful resolution.	0.6
3598	1b745f7ac85a2f7828a4f0c7f	the russian government believes the u.s. is trying to undermine its national security.	the u.s. plans are a threat to russian national security.	3.2
5664	3b80f4d4302d32366c50a41c6	a state of emergency has been declared in affected regions.	a tropical storm warning has been issued for coastal areas.	4.0
3146	f497d4e8209b315d273540296	the grocery store chains engaged in a labor dispute.	the labor dispute escalated quickly.	3.8
3132	72614c3590fe5c74089ef2269	malware is spread through phishing emails.	malicious software is often disguised as harmless files.	4.0
5012	d509c59ebeb8297b8c23d65df	he is addressing the United Nations General Assembly.	the economic embargo must be lifted.	0.6
7811	9a1b95e6af0cddccb90f5f276	the kid is disrupting the lesson.	she is heading to school.	1.8
2465	57faf6247b1b6026f59ca71f0	Microsoft expanded its virtualization capabilities with the acquisition.	Microsoft expanded its virtualization capabilities.	4.4
6611	6597fc84528eea44f45c16fed	a supreme being brought forth the cosmos in its entirety.	the ultimate cause of all motion is the uncaused cause.	0.8
467	fa8a49a239d979dc97018eced	the cat is quenching its thirst.	it's gaining speed rapidly.	0.0
897	17d7cc03612e87755bc8b7703	she is transforming him into a clown.	she was a makeup artist.	1.8
5704	1c3f78ea655e6bf9bf6391a24	the move aims to strengthen regional maritime security.	Beijing is seeking to ease regional concerns through diplomatic channels.	2.0
3049	a4a2b8a3bcac3379320238bfc	he has already suffered enough.	you have been adequately disciplined.	3.0
416	3f33ec9a088d92efb5dfbddf2	they are preparing a side dish.	the cat is cleaning a tiny container.	0.0
2919	27b649cdc3bd975e3d569516a	he is receiving medical attention at the hospital.	the individual's medical situation is precarious but under control.	3.25
3544	bc222e5c6f35763498b824bb3	the government will not interfere with weapons transport to a neighboring country.	it is not a matter of national security for South Africa to intervene in the transportation of weapons to Zimbabwe.	2.8
2567	653f351ead54e66f44f50d204	the tech-heavy stock market composite index rose 1.16 points to 1,504.04.	the tech-heavy index has experienced a moderate surge.	2.2
2669	a425a49569534babf386a2fce	the film explores the tumultuous relationship between the two artists and the Hollywood Blacklist.	the documentary explores the tumultuous relationship between the two artists.	3.0
5402	9ef2444e774e5b640e71220e0	the devastating impact of the hurricane is still being felt.	the humanitarian crisis in the region is worsening.	0.4
4286	299789f0509ba3ef1d808b166	the city is under intense military pressure.	it is a crucial step in their ongoing civil war efforts.	4.4
2585	0517f177d5dfdf59f461d8e0e	the thriller novel's release was delayed due to the tragic events.	the book's release is delayed by nearly a year due to the sniper shootings.	3.25
8105	ac9673ac6be08f5567b78d6f7	a quick and easy cooking solution.	thorough analysis is key.	0.0
5723	eadf9cb8eaae282352e0fc72f	the country's investment in Malaysia is expected to yield significant profits.	the country's wildlife conservation efforts are being closely monitored.	0.0
7449	7770ac29a127d2046e58d1518	she is preparing a vegan meal.	she is applying a red cosmetic product to her lips.	0.4
3480	e040c99df3a15cea6c43368aa	the state scientific center of applied microbiology has robust emergency response protocols.	he has been leading the center's research efforts for many years.	2.4
